2018-11-26 04:39:38.760464,2
2018-11-26 04:44:54.314861,3
2018-11-26 04:53:26.893312,2
2018-11-26 06:00:46.746105,3
2018-11-26 06:02:11.982158,4
2018-11-26 06:02:25.012466,5
2018-11-26 06:02:31.531218,6
2018-11-26 06:02:40.240092,7
2018-11-26 06:02:45.748156,8
2018-11-26 06:03:09.965732,9
2018-11-26 06:03:36.478135,8
2018-11-26 06:05:12.675850,9
2018-11-26 06:06:03.368651,10
2018-11-26 06:07:07.885174,9
2018-11-26 06:07:12.673975,8
2018-11-26 06:08:18.308201,6
2018-11-26 06:09:59.127051,5
2018-11-26 06:11:08.429949,4
2018-11-26 06:13:36.977048,5
2018-11-26 06:14:07.604014,6
2018-11-26 06:14:14.892747,7
2018-11-26 06:14:20.320342,8
2018-11-26 06:14:35.539013,7
2018-11-26 06:15:15.276443,8
2018-11-26 06:19:26.019050,9
2018-11-26 06:20:35.346708,10
2018-11-26 06:21:31.855935,9
2018-11-26 06:22:32.297884,8
2018-11-26 06:24:28.073424,9
2018-11-26 06:24:59.978858,8
2018-11-26 06:25:59.454231,7
2018-11-26 06:26:03.231181,8
2018-11-26 06:26:33.722984,7
2018-11-26 06:33:23.522950,6
2018-11-26 06:34:03.366762,4
2018-11-26 06:34:35.231045,5
2018-11-26 06:36:04.638604,4
2018-11-26 06:41:38.049794,3
2018-11-26 06:47:28.623304,4
2018-11-26 06:48:01.696650,3
2018-11-26 06:48:19.154189,4
2018-11-26 06:50:03.266911,5
2018-11-26 06:50:12.226762,6
2018-11-26 06:50:45.000306,5
2018-11-26 06:52:21.019052,4
2018-11-26 06:53:53.371239,3
2018-11-26 07:02:58.774629,4
2018-11-26 07:03:38.608696,5
2018-11-26 07:07:06.369898,4
2018-11-26 07:07:15.544688,5
2018-11-26 07:07:58.777784,4
2018-11-26 07:08:56.072159,5
2018-11-26 07:10:09.896416,6
2018-11-26 07:11:38.066414,7
2018-11-26 07:13:00.805320,6
2018-11-26 07:13:33.037347,7
2018-11-26 07:13:43.576406,8
2018-11-26 07:13:55.046185,9
2018-11-26 07:13:58.358798,10
2018-11-26 07:14:23.230631,11
2018-11-26 07:14:30.240485,10
2018-11-26 07:14:48.638431,11
